database	review_status	count
APD6	accepted_with_cautions	2245
APD6	blocked_missing_primary_material	38
CAMP	accepted_with_cautions	2698
CAMP	blocked_missing_primary_material	72
CAMP	needs_targeted_rework	65
CAMP	publication_grade	2
DBAASP	accepted_with_cautions	114811
DBAASP	blocked_missing_primary_material	6222
DBAASP	needs_targeted_rework	2632
DBAASP	publication_grade	13
DBAASP	publication_grade_with_cautions	43
DRAMP	accepted_with_cautions	7350
DRAMP	blocked_missing_primary_material	439
DRAMP	needs_targeted_rework	543
DRAMP	publication_grade	54
DRAMP	publication_grade_ready	72
dbAMP	accepted_with_cautions	1840
dbAMP	blocked_missing_primary_material	96
dbAMP	needs_targeted_rework	18
unknown	accepted_with_cautions	6
