paper_id	session_id	session_start_utc	originator	source	turn_model	turn_effort	prompt_chars	title_in_prompt	assistant_parse_status	assistant_raw_records	tool_like_response_items	extraction_prompt_has_worker_terms	final_cleaned_rows_in_batch_report	prompt_sha256	assistant_sha256	session_file
PMC13036000	019f4002-1f65-7262-ab7c-452af662b29e	2026-07-08T04:35:08.774Z	codex_exec	exec	gpt-5.5	xhigh	35228	True	json_array	0	0	False	0	f89b0d4c243b0be8	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-08-019f4002-1f65-7262-ab7c-452af662b29e.jsonl
PMC13036000	019f4002-1f98-7d00-b847-5ed232df9a40	2026-07-08T04:35:08.826Z	codex_exec	exec	gpt-5.5	xhigh	35226	True	json_array	0	0	False	0	d4b7bdb749aa44e9	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-08-019f4002-1f98-7d00-b847-5ed232df9a40.jsonl
PMC13036774	019f4002-1fca-78b0-9fa4-7e928bb89bab	2026-07-08T04:35:08.875Z	codex_exec	exec	gpt-5.5	xhigh	34707	True	json_array	6	0	False	3	849b0fd339783f76	09b19d5f6bd22ada	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-08-019f4002-1fca-78b0-9fa4-7e928bb89bab.jsonl
PMC13036774	019f4002-1fea-7071-bef4-14558bb9b665	2026-07-08T04:35:08.908Z	codex_exec	exec	gpt-5.5	xhigh	34705	True	json_array	6	0	False	3	3a653c11a47486f7	a74246bad44a499b	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-08-019f4002-1fea-7071-bef4-14558bb9b665.jsonl
PMC13039887	019f4002-4106-71a3-89cb-7a8595c71031	2026-07-08T04:35:17.383Z	codex_exec	exec	gpt-5.5	xhigh	40412	True	json_array	0	0	False	0	5173c4381d232846	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-17-019f4002-4106-71a3-89cb-7a8595c71031.jsonl
PMC13039887	019f4002-4113-7c13-9978-6f8cca692289	2026-07-08T04:35:17.396Z	codex_exec	exec	gpt-5.5	xhigh	40414	True	json_array	0	0	False	0	33f74ae7df487338	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-17-019f4002-4113-7c13-9978-6f8cca692289.jsonl
PMC13054752	019f4002-6417-7ff2-9ef6-ec444981283f	2026-07-08T04:35:26.361Z	codex_exec	exec	gpt-5.5	xhigh	41044	True	json_array	13	0	False	16	586e6b209ca8a31b	eb7654c73fbcd700	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-26-019f4002-6417-7ff2-9ef6-ec444981283f.jsonl
PMC13054752	019f4002-642b-7473-828d-bb20f0fc3368	2026-07-08T04:35:26.381Z	codex_exec	exec	gpt-5.5	xhigh	41042	True	json_array	6	0	False	16	900913689e4bf727	9901eec7dbab111b	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-26-019f4002-642b-7473-828d-bb20f0fc3368.jsonl
PMC12317022	019f4002-969f-7440-bc9f-57349370d2f7	2026-07-08T04:35:39.296Z	codex_exec	exec	gpt-5.5	xhigh	32144	True	json_array	0	0	False	0	755cb18c32ca91ac	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-39-019f4002-969f-7440-bc9f-57349370d2f7.jsonl
PMC12317022	019f4002-96af-7893-8797-f0545c78ea89	2026-07-08T04:35:39.313Z	codex_exec	exec	gpt-5.5	xhigh	32142	True	json_array	0	0	False	0	21242e440ef9e2e1	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-39-019f4002-96af-7893-8797-f0545c78ea89.jsonl
PMC12450885	019f4002-c56c-7823-85b1-2f46d4b1accf	2026-07-08T04:35:51.277Z	codex_exec	exec	gpt-5.5	xhigh	10744	True	json_array	0	0	False	0	22c790c12f2e41b9	4f53cda18c2baa0c	/root/.codex/sessions/2026/07/08/rollout-2026-07-08T12-35-51-019f4002-c56c-7823-85b1-2f46d4b1accf.jsonl
